Date,Close
2020-08-10,233.7918243408203
2020-08-11,233.61682844481595
2020-08-12,231.14332064814374
2020-08-13,233.09181814334158
2020-08-14,235.68703104262005
2020-08-17,237.62525062827407
2020-08-18,236.21392938591057
2020-08-19,233.05863247806397
2020-08-20,231.39703529665275
2020-08-21,229.4846672695151
2020-08-24,228.98694365085726
2020-08-25,226.97780232020352
2020-08-26,234.01912056085075
2020-08-27,232.96052637983934
2020-08-28,235.2322040939171
2020-08-31,236.18422960538663
2020-09-01,231.15679885284533
2020-09-02,234.70360297022614
2020-09-03,234.2665822186354
2020-09-04,231.45924621437996
2020-09-07,233.74777371805095
2020-09-08,231.67191838674466
2020-09-09,232.47965717110895
2020-09-10,232.6236804003602
2020-09-11,234.33196642718062
2020-09-14,237.18040153001718
2020-09-15,239.19989164340043
2020-09-16,239.65230640579128
2020-09-17,241.06540834923575
2020-09-18,238.46053090945114
2020-09-21,240.3443588781425
2020-09-22,244.15678683328383
2020-09-23,248.0388961138531
2020-09-24,247.03894994649835
2020-09-25,246.97878464933254
2020-09-28,252.47945233481934
2020-09-29,250.6650075658612
2020-09-30,252.5191747159956
2020-10-01,255.31970488321755
2020-10-05,252.75232644591165
2020-10-06,256.4795730998026
2020-10-07,256.10127423224316
2020-10-08,259.71126143242924
2020-10-09,264.8981185719856
2020-10-12,268.63177171419574
2020-10-13,266.0386870147984
2020-10-14,265.471299703047
2020-10-15,264.6907616214148
2020-10-16,262.4289010233686
2020-10-19,264.2901268949921
2020-10-20,261.7219088527635
2020-10-21,262.8184978486856
2020-10-22,266.754013730641
2020-10-23,266.3077107594355
2020-10-26,271.46892752190547
2020-10-27,265.546515898076
2020-10-28,268.00833317352664
2020-10-29,268.38470651023937
2020-10-30,269.53991177973177
2020-11-02,270.75230263495183
2020-11-03,267.3654126699023
2020-11-04,268.1328390602851
2020-11-05,268.48603246628824
2020-11-06,273.3796741175506
2020-11-09,271.9192599168731
2020-11-10,274.59708690330467
2020-11-11,273.3881950156323
2020-11-12,271.51347477580015
2020-11-13,269.85583430079686
2020-11-14,265.658277623513
2020-11-17,267.9269493246836
2020-11-18,266.4635350364784
2020-11-19,262.0037936052053
2020-11-20,262.00724410544785
2020-11-23,257.7824458796653
2020-11-24,256.6086044560278
2020-11-25,254.12658676663827
2020-11-26,256.90399750243733
2020-11-27,259.6559591257198
2020-12-01,257.29510279644114
2020-12-02,255.5254276382222
2020-12-03,259.466363384476
2020-12-04,259.20226074608286
2020-12-07,260.7742211111748
2020-12-08,260.5891727518704
2020-12-09,261.5734507371578
2020-12-10,261.87757916156704
2020-12-11,263.2577110791604
2020-12-14,264.7169683091633
2020-12-15,263.5978115347119
2020-12-16,263.9329146811678
2020-12-17,263.13520440911066
2020-12-18,267.62466436363087
2020-12-21,264.9564605691497
2020-12-22,265.8896945944664
2020-12-23,265.12499553773387
2020-12-24,265.42244320178696
2020-12-28,267.6014551753963
2020-12-29,266.19639219271914
2020-12-30,268.05216369152873
2020-12-31,269.55889138912613
2021-01-01,267.051448443617
2021-01-04,269.44837030569255
2021-01-05,274.89041707623096
2021-01-06,278.8222083674288
2021-01-07,280.8141654174934
2021-01-08,284.0084946726401
2021-01-11,286.3838868535112
2021-01-12,286.18433964250386
2021-01-13,290.7004105997405
2021-01-14,290.8370361346814
2021-01-15,292.76594719456125
2021-01-18,296.3325960993057
2021-01-19,296.52582323619714
2021-01-20,303.2601536356482
2021-01-21,299.3263976214601
2021-01-22,303.35821650836897
2021-01-25,297.5138263710804
2021-01-27,296.9950379429141
2021-01-28,297.37548188128255
2021-01-29,298.0353718451952
2021-02-01,296.90972171042813
2021-02-02,300.50590897636704
2021-02-03,299.1234393021044
2021-02-04,297.2964427472064
2021-02-05,295.482955630406
2021-02-08,296.6591306995672
2021-02-09,302.0794901097859
2021-02-10,300.1013982733793
